1983.10,34721.23,30706.53,33752.50
1983.11,34458.48,31134.85,33656.84
1983.12,34546.66,31571.73,33827.96
1984.01,35224.61,32012.41,34445.63
1984.02,33566.18,32467.18,33330.34
1984.03,33849.60,32939.93,33660.56
1984.04,34156.33,33425.75,34011.39
1984.05,34206.23,33946.67,34176.23
1984.06,33712.32,34472.30,33928.06
1984.07,33542.69,34977.28,33917.46
1984.08,36754.79,35486.56,36504.29
1984.09,37405.43,35989.57,37119.36
1984.10,37387.70,36477.33,37226.49
1984.11,38002.63,36964.22,37810.85
1984.12,37870.75,37454.24,37831.21
1985.01,39782.36,37939.98,39371.63
1985.02,42215.90,38454.92,41292.49
1985.03,42153.91,38965.69,41389.81
1985.04,42723.30,39473.59,41943.41
1985.05,44026.83,39949.89,43021.62
1985.06,45267.46,40428.51,44052.31
1985.07,46420.27,40922.00,45021.82
1985.08,45705.76,41411.85,44648.62
1985.09,44986.35,41904.74,44266.29
1985.10,45795.60,42391.45,44988.84
1985.11,48864.94,42869.45,47351.64
1985.12,51582.66,43328.36,49431.67
1986.01,52111.84,43796.21,49944.91
1986.02,55214.41,44234.70,52224.57
1986.03,58760.99,44648.01,54774.82
1986.04,60509.75,45063.48,56089.16
1986.05,60948.78,45507.64,56534.72
1986.06,62995.54,45927.22,58045.38
1986.07,62005.01,46349.01,57535.06
1986.08,63558.10,46757.71,58712.51
1986.09,62144.20,47188.59,57921.25
1986.10,62230.76,47617.35,58124.61
1986.11,64565.26,48044.62,59838.57
1986.12,65807.75,48474.99,60815.48
1987.01,70333.61,48909.05,63903.25
1987.02,75012.99,49346.40,67046.72
1987.03,78433.78,49799.19,69366.72
1987.04,77910.31,50283.57,69239.71
1987.05,78191.27,50784.66,69616.39
1987.06,81847.01,51283.76,72095.03
1987.07,84542.87,51798.55,73968.85
1987.08,90133.63,52330.58,77614.90
1987.09,87554.72,52895.67,76304.92
1987.10,77349.46,53428.35,70303.45
1987.11,68007.76,53973.41,64570.61
1987.12,67249.44,54515.57,64257.79
1988.01,70247.01,55039.81,66399.20
1988.02,72728.57,55562.17,68191.61
1988.03,75222.74,56107.38,69991.46
1988.04,74709.34,56670.42,69886.65
1988.05,73230.74,57253.96,69171.82
1988.06,77762.08,57822.75,72297.96
1988.07,77675.10,58410.55,72473.35
1988.08,76495.10,59009.45,71957.80
1988.09,78115.92,59593.43,73218.03
1988.10,81228.37,60171.06,75424.36
1988.11,79743.56,60773.90,74723.81
1988.12,81744.75,61385.50,76235.05
1989.01,84762.26,61998.20,78345.34
1989.02,87706.43,62632.04,80407.67
1989.03,87720.73,63269.81,80688.38
1989.04,90993.95,63897.44,82941.48
1989.05,94883.94,64507.70,85544.46
1989.06,98251.70,65095.13,87806.27
1989.07,101149.83,65671.06,89772.45
1989.08,106038.54,66275.03,92909.10
1989.09,106677.86,66885.76,93561.55
1989.10,107137.11,67479.54,94101.50
1989.11,105355.39,68072.46,93341.57
1989.12,108387.47,68674.63,95387.54
1990.01,106156.15,69312.64,94439.92
1990.02,103640.11,69961.13,93316.13
1990.03,106597.14,70619.71,95327.55
1990.04,106965.42,71309.62,95864.50
1990.05,111233.04,71977.70,98626.68
1990.06,114909.19,72638.89,101029.45
1990.07,115262.35,73300.36,101549.49
1990.08,106386.53,73997.47,96882.69
1990.09,101940.86,74696.70,94612.76
1990.10,99747.48,75389.67,93618.10
1990.11,102873.56,76064.32,95790.00
1990.12,107736.55,76732.39,98983.20
1991.01,107162.10,77405.15,98976.19
1991.02,119726.39,78083.95,106491.48
1991.03,123522.40,78768.54,108928.48
1991.04,126466.44,79454.71,110887.16
1991.05,126401.87,80148.31,111208.07
1991.06,127000.37,80857.99,111897.10
1991.07,128150.84,81567.49,112887.13
1991.08,131736.99,82258.50,115197.61
1991.09,131500.75,82929.19,115414.56
1991.10,131898.92,83601.97,115975.36
1991.11,132079.82,84275.57,116417.51
1991.12,133471.74,84905.90,117497.63
1992.01,143434.41,85584.57,123122.10
1992.02,142740.61,86265.65,123141.87
1992.03,141465.08,86970.83,122869.77
1992.04,142002.80,87684.28,123539.03
1992.05,145097.39,88383.16,125534.21
1992.06,143338.48,89071.65,124998.01
1992.07,146237.86,89732.53,126872.17
1992.08,147777.15,90390.22,128031.29
1992.09,148500.39,91032.70,128757.10
1992.10,146913.91,91711.57,128301.76
1992.11,151118.86,92404.92,130879.39
1992.12,156215.48,93083.94,133898.38
1993.01,156607.61,93745.32,134475.89
1993.02,159471.50,94383.02,136269.53
1993.03,163062.28,95024.78,138421.20
1993.04,161048.69,95668.57,137806.18
1993.05,162382.46,96323.64,138847.43
1993.06,163953.34,96955.40,139991.94
1993.07,164221.98,97592.70,140494.38
1993.08,167278.52,98203.57,142363.45
1993.09,169708.78,98811.32,143915.87
1993.10,171981.10,99425.57,145391.87
1993.11,172163.50,100075.50,145862.92
1993.12,173856.92,100726.07,147075.92
1994.01,177042.42,101372.06,148980.04
1994.02,177083.20,102062.31,149425.30
1994.03,174742.03,102807.55,148778.99
1994.04,169082.75,103582.93,146554.85
1994.05,171042.40,104372.44,147978.96
1994.06,173107.73,105181.70,149465.79
1994.07,172385.73,105977.33,149595.42
1994.08,177860.55,106783.40,152738.21
1994.09,179484.89,107632.57,154034.81
1994.10,178865.84,108505.41,154267.93
1994.11,178381.74,109392.44,154570.33
1994.12,176732.02,110278.47,154302.25
1995.01,181231.59,111151.44,156965.20
1995.02,188314.66,111995.27,160805.38
1995.03,193298.44,112843.51,163642.27
1995.04,199680.23,113683.40,167098.07
1995.05,206530.45,114455.37,170692.97
1995.06,213260.43,115223.85,174200.39
1995.07,220990.58,116017.15,178137.72
1995.08,222301.92,116801.35,179237.43
1995.09,230729.85,117579.53,183431.25
1995.10,233010.98,118346.24,184934.83
1995.11,238675.39,119089.28,187870.61
1995.12,246928.96,119819.01,191881.78
1996.01,247514.75,120556.64,192654.25
1996.02,262288.04,121350.65,199211.63
1996.03,261947.79,122172.05,199691.41
